fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,34,JHARKHAND,3416,HAZARIBAGH,3495014,274.8206709,34,301,1535.825806,5713,16,35053,2670253,310810,35006,161612,16102,239.28235,9113.515366,77475,85486,162495,221982,335,370688,509902,40766,7338.40721,1361401,96,93.1,2.92,99.68,NA
2024-2025,Nov,34,JHARKHAND,3418,KODERMA,1317616,272.3417597,34,73,618.8105628,4180,5,15258,1001660,92437,9160,14686,1074,118.51809,3465.267123,28929,31851,63826,81596,83,154430,195898,19438,2727.93847,518965,90,78.33,7.37,99.24,NA
2024-2025,Nov,34,JHARKHAND,3419,GIRIDIH,6750475,269.4319403,34,594,2661.877164,12455,17,70857,4496978,260536,32481,379741,35288,476.1783,15254.35054,132257,140850,285133,373789,245,658673,870353,83312,12116.29508,2377724,95,92.93,2.93,99.71,NA
2024-2025,Nov,34,JHARKHAND,3401,RANCHI,2458911,272.6058182,37,151,1478.375685,4420,9,38525,2276650,113866,12860,847269,105377,429.76499,8114.421035,60129,70429,152143,248553,556,352704,532070,42945,6206.28036,1094711,93,93.04,1.25,99.41,NA
2024-2025,Nov,34,JHARKHAND,3402,LOHARDAGA,886252,273.6551444,35,93,625.1990339,2960,0,16152,712549,37067,4998,419356,70570,111.29008,2686.416109,20127,25907,53454,113782,240,99493,197437,19112,1949.926995,363065,96,83.59,0.15,99.8,NA
2024-2025,Nov,34,JHARKHAND,3410,EAST SINGHBUM,2059431,270.8230345,29,131,821.3218218,7542,45,34972,1270219,48950,9470,537831,105242,233.34731,4494.714772,42653,50527,115349,222249,197,278493,495230,42514,3440.04564,691854,95,77.47,5.27,99.52,NA
2024-2025,Nov,34,JHARKHAND,3411,DUMKA,3755249,271.5625735,40,117,1494.412558,6490,0,38188,3200682,145426,11117,845574,69174,226.59069,10412.85766,79318,85776,152684,215811,302,333296,474208,44678,8691.85441,1505849,94,85.83,11.04,99.84,NA
2024-2025,Nov,34,JHARKHAND,3414,PAKUR,1928006,272.3444455,40,36,1031.386889,5560,0,26560,1607421,34839,3401,446054,44327,199.5106,5608.619299,40069,42700,95411,123839,292,230887,293675,32120,4377.72181,795520,97,86.07,4.15,99.75,NA
2024-2025,Nov,34,JHARKHAND,3415,GODDA,2484195,271.5481743,37,143,1534.175478,4876,7,37977,2034914,79370,9954,409973,39959,206.7874,7266.734693,54764,60138,132499,195674,217,310089,448134,42853,5525.771815,963648,92,89.45,4.76,99.79,NA
2024-2025,Nov,34,JHARKHAND,3417,CHATRA,3533527,269.4615059,32,68,1590.886763,6737,1,41796,3080537,749386,52339,151484,9509,167.34968,10059.09783,94440,105130,161231,196728,205,276842,329742,48533,8300.86139,1565876,97,94.8,2.47,99.54,NA
2024-2025,Nov,34,JHARKHAND,3424,KHUNTI,1162576,268.8733678,33,115,531.1191551,1473,0,22309,789412,30855,4585,534218,68525,98.77922,2752.417005,23379,27601,60658,97881,189,149590,239547,23782,2122.51863,344060,97,88.77,0.89,99.23,NA
2024-2025,July,34,JHARKHAND,3402,LOHARDAGA,537297,273.9423796,30,85,473.8725469,2872,0,15503,551610,29969,4957,334491,69937,56.35699,2041.323097,17818,22640,52904,112636,136,98194,195225,18375,1511.09356,280936,96,83.93,0.13,99.73,NA
2024-2025,July,34,JHARKHAND,3408,WEST SINGHBHUM,1550567,272.1583751,28,120,1086.317737,6745,4,37967,1594323,35364,5515,1121011,158873,133.58576,5558.987067,55740,60561,150767,224003,125,354193,517592,44712,4339.08357,772718,89,82.32,10.56,99.62,NA
2024-2025,July,34,JHARKHAND,3411,DUMKA,2276647,272.2508669,34,101,1481.052117,5115,0,34724,2437472,108206,10958,658043,68490,115.74602,8232.836787,70685,76333,150298,213052,85,326069,466568,39839,6636.03865,1131231,94,92.83,4.67,99.85,NA
2024-2025,July,34,JHARKHAND,3417,CHATRA,2142227,273.0230117,29,58,1466.767857,5763,1,34849,2565085,632248,51975,124875,9337,96.08057,8566.120747,86329,95939,159707,194902,119,269814,321899,40612,7003.27232,1297157,97,96.86,0.98,99.67,NA
2024-2025,July,34,JHARKHAND,3418,KODERMA,798814,276.2419532,31,69,563.9386453,3767,5,14977,851772,73437,9047,11428,1062,61.76273,2978.652985,26927,29554,63359,81019,53,153233,194595,18744,2352.95161,435052,90,79.46,8,99.31,NA
2024-2025,July,34,JHARKHAND,3402,LOHARDAGA,537297,274.2423596,30,85,580.6072641,2872,0,15508,552295,30009,4957,335030,69939,56.35699,2151.591094,17827,22651,52907,112640,137,98196,195230,18380,1514.62684,281285,96,84.04,0.13,99.73,NA
2024-2025,July,34,JHARKHAND,3403,GUMLA,1490765,270.093136,35,134,1548.742658,2668,1,37247,1634449,50430,6814,970935,124749,92.8767,6056.153918,45477,51789,113058,196677,292,219137,368032,39915,4414.53456,662148,94,91.75,6.68,99.29,NA
2024-2025,July,34,JHARKHAND,3406,LATEHAR,2341156,271.177724,28,474,854.8900668,7979,0,29201,1854634,242016,22527,588325,51039,104.54286,5988.787197,64685,70317,122824,153932,78,188043,233890,37180,5029.35427,881357,97,65.08,32.38,99.71,NA
2024-2025,July,34,JHARKHAND,3407,GARHWA,3615437,271.1185973,33,216,2212.685193,7688,0,53592,4445471,486972,52183,444651,37590,194.79991,14459.98372,131727,159887,241349,350517,259,396591,561485,61280,12052.49862,2061950,93,91.46,2.73,99.72,NA
2024-2025,July,34,JHARKHAND,3411,DUMKA,2276647,272.4554444,34,103,1490.438144,5115,0,34778,2445666,108680,10961,660676,68488,115.74602,8269.534334,70838,76494,150326,213083,88,326092,466591,39893,6663.35017,1135501,94,92.71,4.76,99.85,NA
2024-2025,July,34,JHARKHAND,3412,JAMTARA,1708543,270.7336618,28,92,1159.244691,6042,2,27577,1853542,141229,14506,383840,42125,67.14566,6244.552481,65874,71644,130728,177274,74,229084,299332,33619,5018.16213,831239,94,96.52,1.08,99.87,NA
2024-2025,July,34,JHARKHAND,3414,PAKUR,1168869,272.248039,31,33,932.8632596,5035,0,25717,1109664,21971,3349,303979,43787,76.17783,4030.07957,35150,37330,93816,121995,32,220248,282573,30752,3021.03848,542973,97,92.27,2.3,99.83,NA
2024-2025,July,34,JHARKHAND,3417,CHATRA,2142227,273.5118569,29,58,1580.359833,5763,1,34854,2566698,632777,51966,125007,9336,96.08057,8696.663763,86319,95927,159693,194887,119,269822,321908,40617,7020.22336,1297797,97,96.86,0.98,99.68,NA
2024-2025,Aug,34,JHARKHAND,3405,PALAMU,2698255,273.320978,26,290,1396.533213,8734,4,59469,1787730,391695,73322,139244,23927,204.32484,6487.099173,66723,78381,198510,276689,90,406400,551565,68203,4886.24112,819000,94,86.73,7.9,99.31,NA
2024-2025,Aug,34,JHARKHAND,3410,EAST SINGHBUM,1481804,269.7060134,25,119,683.5672809,7153,45,33747,991212,37672,9396,426111,104516,91.51513,3448.440781,39369,46374,114320,220475,68,275918,491996,40900,2673.35837,538373,95,81.83,4.22,99.05,NA
2024-2025,Aug,34,JHARKHAND,3416,HAZARIBAGH,2514734,276.0377828,32,278,1429.479246,5247,17,32268,2315287,261498,34622,139986,15962,127.39165,7947.937796,72195,79444,160846,219898,244,365959,504630,37515,6391.0669,1169434,95,95.6,1.7,99.63,NA
2024-2025,Aug,34,JHARKHAND,3421,DHANBAD,1459824,272.1381651,25,105,437.9099003,6767,15,37340,1044446,83466,15546,171843,22243,122.38824,3402.63432,40405,45616,107096,149184,87,303483,394059,44107,2842.33618,479630,95,90.22,3.71,99.62,NA
2024-2025,Aug,34,JHARKHAND,3422,DEOGHAR,3288688,271.6242061,36,314,2308.629218,6131,0,32278,3090987,189337,24517,304153,28596,157.30658,10861.8047,84398,92392,190190,273318,208,399020,583028,38409,8395.8689,1338514,92,91.88,3.07,99.78,NA
2024-2025,Aug,34,JHARKHAND,3423,RAMGARH,1039217,272.0622048,37,158,798.2765544,2266,30,15619,934413,46878,8074,224462,27768,57.99624,3398.457404,25115,29960,61803,102138,299,140300,221752,17885,2542.18461,425829,95,95.22,0.45,99.51,NA
2024-2025,Aug,34,JHARKHAND,3402,LOHARDAGA,637677,273.2297798,31,85,580.6072641,2873,0,15651,573523,30653,4962,344939,70011,56.35699,2203.999884,18200,23137,52995,112804,144,98235,195309,18524,1567.03563,292416,96,83.99,0.16,99.51,NA
2024-2025,Aug,34,JHARKHAND,3415,GODDA,1787429,272.7628764,32,129,1207.248915,4409,7,35779,1650694,61276,9848,325833,39540,102.54961,5812.27896,50468,55123,131234,193964,57,302314,439820,40188,4502.480435,774239,92,89.03,5.88,99.46,NA
2024-2025,Aug,34,JHARKHAND,3417,CHATRA,2542445,272.6776981,29,58,1580.359833,5910,1,34844,2570726,633379,51965,125226,9329,96.08057,8686.236883,86423,96040,159695,194895,121,269944,322062,40754,7009.79648,1300471,97,96.84,0.98,99.34,NA
2024-2025,Aug,34,JHARKHAND,3422,DEOGHAR,3288688,271.6094513,36,312,2308.629218,6119,0,32141,3077373,188365,24514,302458,28600,157.30658,10824.37172,84267,92234,190183,273338,201,398841,582877,38260,8358.43592,1332813,92,91.91,3.06,99.76,NA
2024-2025,Aug,34,JHARKHAND,3423,RAMGARH,1039217,272.0639514,37,158,798.2765544,2266,30,15619,934413,46878,8074,224462,27768,57.99624,3398.473724,25115,29960,61803,102138,299,140278,221724,17885,2542.20093,425829,95,95.22,0.45,99.51,NA
2024-2025,Aug,34,JHARKHAND,3402,LOHARDAGA,637677,273.6493642,31,87,580.6072641,2873,0,15762,589897,31494,4973,353121,70078,56.35699,2251.213644,18480,23523,53056,112928,153,98315,195449,18635,1614.24939,300857,96,83.73,0.16,99.52,NA
2024-2025,Aug,34,JHARKHAND,3404,SIMDEGA,1636707,279.2832809,30,121,1382.908185,5267,0,24675,1216155,116170,14547,744441,102247,68.9646,4848.39037,40166,45301,94593,155610,368,169735,272089,29942,3396.517585,549591,94,89.96,1.73,99.16,NA
2024-2025,Aug,34,JHARKHAND,3405,PALAMU,2698255,273.0541394,26,290,1396.533213,8738,4,59486,1802475,394754,73327,141723,23929,204.32484,6522.590653,66818,78496,198527,276711,90,406792,551991,68224,4921.7326,827416,94,86.68,7.87,99.31,NA
2024-2025,Aug,34,JHARKHAND,3411,DUMKA,2701978,272.7580621,35,104,1490.438144,5200,0,35341,2538527,113789,10982,684652,68593,115.74602,8530.221214,72185,77951,150707,213484,98,327284,467825,40541,6924.03705,1182368,94,91.44,5.92,99.77,NA
2024-2025,Aug,34,JHARKHAND,3413,SAHEBGANJ,1633163,275.7858625,29,145,1172.002242,3872,6,28813,1254320,36613,6710,270835,46562,99.37809,4730.617562,42319,45437,126699,159480,46,347480,427945,32685,3459.23723,624534,91,86.75,5.01,99.64,NA
2024-2025,Nov,34,JHARKHAND,3403,GUMLA,2458963,266.5574719,39,146,1926.280263,3692,1,35407,1938695,61696,6855,1133370,125615,180.17273,7274.189373,48881,55906,114113,198042,688,221407,370745,39099,5167.73638,791106,94,90.45,7.57,98.8,NA
2024-2025,Nov,34,JHARKHAND,3415,GODDA,2484195,271.9400207,38,145,1540.285887,5454,7,36641,2164071,84998,9965,441453,40040,206.7874,7632.048412,55718,61244,132775,196045,284,311126,449247,42095,5884.975125,1028632,92,89.24,4.61,99.8,NA
2024-2025,Nov,34,JHARKHAND,3420,BOKARO,2522098,273.6139699,39,217,1134.761013,11561,13,31287,1989467,201177,26853,300145,35622,269.31488,6847.535532,50630,57295,138600,208938,525,385156,554270,42848,5443.459639,994980,97,91.41,1.71,99.8,NA
