fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,34,JHARKHAND,3408,WEST SINGHBHUM,1826067,277.4646444,27,134,16.9236,5496,3,56971,1746447,37968,5429,1196728,151680,100.01271,4962.709268,63611,68740,148451,215867,111,377961,542164,62467,4845.772958,839298,94,68.27,74.37,100.01,NA
2025-2026,July,34,JHARKHAND,3413,SAHEBGANJ,1424253,287.8023363,26,278,3.4206586,2607,4,37941,1413710,48504,6528,341974,44385,92.07781,4164.188877,53681,57889,120691,150923,51,369458,450384,40548,4068.690408,728295,94,64.68,64.06,100,NA
2025-2026,July,34,JHARKHAND,3416,HAZARIBAGH,2729615,285.5810665,29,256,11.3243852,6507,13,45133,2472285,309563,34322,139986,15120,95.9608,7167.663056,83876,92188,164408,221835,293,390675,532743,51640,7060.377871,1339502,97,75.34,85.52,100,NA
2025-2026,July,34,JHARKHAND,3419,GIRIDIH,5596442,278.1911501,29,750,4.1229337,8992,10,90332,4394376,283575,32685,335521,34828,120.90256,12349.79063,150572,160074,292831,377315,140,695358,909686,99324,12224.76513,2398132,97,76.81,81.88,100.01,NA
2025-2026,July,34,JHARKHAND,3402,LOHARDAGA,737998,276.9305688,32,84,0,1926,0,21868,633759,31958,5034,362217,68154,46.78337,1801.855773,19783,26080,52477,111566,100,103708,203526,23794,1755.072403,330654,97,49.75,48.88,100,NA
2025-2026,July,34,JHARKHAND,3418,KODERMA,988265,283.9418417,32,97,17.3913297,1577,0,20076,1094502,89967,9289,15860,1110,34.873,3160.013466,33688,36757,65311,82752,87,162489,204512,21653,3107.749136,584427,93,83.92,72.56,100,NA
2025-2026,July,34,JHARKHAND,3424,KHUNTI,877486,280.5967704,32,125,3.4272,1479,0,27100,733936,30970,4212,492876,62146,53.7186,2116.546513,22400,26615,55914,90164,291,154254,245274,28579,2059.400713,356561,98,78.49,79.13,100,NA
2025-2026,July,34,JHARKHAND,3402,LOHARDAGA,737998,277.2827434,31,83,0,1895,0,21446,612804,30983,5033,349213,68055,46.78337,1745.983113,19411,25495,52404,111412,88,103689,203509,23341,1699.199743,319646,97,49.97,49.08,100,NA
2025-2026,July,34,JHARKHAND,3424,KHUNTI,877486,281.4242584,32,124,3.4272,1423,0,26959,714418,30313,4217,479456,62066,53.7186,2067.691359,22090,26241,55853,90056,265,154217,245232,28382,2010.545559,347044,98,78.52,79.09,100,NA
2025-2026,July,34,JHARKHAND,3408,WEST SINGHBHUM,1826067,279.224527,27,135,16.9236,5561,3,57255,1780658,38739,5417,1219614,151671,100.01271,5088.970188,63968,69147,148409,215835,138,378015,542224,62816,4972.033878,855741,94,68.22,74.16,100.01,NA
2025-2026,July,34,JHARKHAND,3412,JAMTARA,2698726,278.9077527,26,125,0,6325,0,53609,2342512,175272,14858,394591,42241,51.3064,6584.753975,88172,96546,138558,183743,87,252299,322947,59934,6533.447575,1232743,97,82.33,80.39,100.01,NA
2025-2026,July,34,JHARKHAND,3416,HAZARIBAGH,2729615,285.2556934,29,256,11.3243852,6751,13,45482,2527120,315878,34353,142709,15124,95.9608,7316.038864,84597,92988,164499,221989,304,390719,532810,52233,7208.753679,1369576,97,74.96,85.52,100,NA
2025-2026,July,34,JHARKHAND,3402,LOHARDAGA,737998,275.3897284,31,83,0,1904,0,21670,622034,31449,5033,355236,68120,46.78337,1759.801113,19559,25731,52461,111525,91,103698,203509,23574,1713.017743,324340,97,49.83,48.96,100,NA
2025-2026,July,34,JHARKHAND,3406,LATEHAR,2682720,279.0711556,27,618,0,8296,0,53896,2484630,345850,24179,715065,56536,57.98818,6991.873834,90519,98510,138007,169381,122,218989,266219,62192,6933.885654,1197401,98,33.21,86.67,100.01,NA
2025-2026,July,34,JHARKHAND,3407,GARHWA,5398069,280.9509184,31,248,2.4641185,13652,0,62302,4800133,504146,50605,490657,37840,173.33731,13661.81918,152973,185063,251702,357958,281,438027,608381,75954,13486.01775,2267076,95,83.4,86.71,100.01,NA
2025-2026,July,34,JHARKHAND,3412,JAMTARA,2698726,278.6670051,26,125,0,6483,0,53702,2375886,177977,14863,400854,42302,51.3064,6672.116761,88527,96969,138622,183830,96,252433,323109,60185,6620.810361,1249510,97,82.3,80.37,100.01,NA
2025-2026,July,34,JHARKHAND,3414,PAKUR,1529943,282.3056456,30,47,18.7896592,3947,0,34101,1397265,30218,3189,428605,42720,85.54347,4048.891109,46535,49310,94864,120623,78,246633,309803,38048,3944.557979,709359,98,72.85,69.49,100,NA
2025-2026,July,34,JHARKHAND,3421,DHANBAD,1497752,278.5382126,26,112,0.76,9925,1,45914,1450465,116175,15640,203246,22839,76.56261,4117.421895,53917,60996,111694,153750,108,327299,422633,55839,4040.099285,755222,97,73.47,77.94,100,NA
2025-2026,July,34,JHARKHAND,3404,SIMDEGA,1684641,289.5646436,31,162,18.0792517,5496,0,35760,1500937,146465,14672,939199,102282,87.4798,4451.741926,46957,53505,96946,156044,294,181499,284832,41256,4346.182875,701001,96,68.72,70.69,100.01,NA
2025-2026,July,34,JHARKHAND,3416,HAZARIBAGH,2729615,286.5440594,31,261,11.3243852,7853,13,47099,2777463,349423,34473,156519,15193,208.16686,8178.146475,87647,96520,164935,222592,419,390976,533162,54952,7958.65523,1506516,97,73.27,85.26,100,NA
2025-2026,July,34,JHARKHAND,3419,GIRIDIH,5596442,278.6995386,31,762,4.1229337,10327,10,90789,4847666,317627,32811,376916,34925,157.61192,13672.15763,155682,165795,293409,378227,254,695940,910387,101116,13510.42277,2650584,97,75.05,80.67,100.01,NA
2025-2026,July,34,JHARKHAND,3421,DHANBAD,1497752,280.601696,28,123,0.76,11992,1,44828,1563699,125597,15687,217914,22875,120.96013,4509.486045,55329,62588,111949,154132,155,327527,422970,56820,4387.765915,816900,97,72.85,77.69,100,NA
2025-2026,July,34,JHARKHAND,3403,GUMLA,1771139,266.7685669,31,171,0,3095,1,48288,1615944,60127,6676,915318,119238,128.83746,4439.66811,51451,60459,110796,188937,211,229896,380887,51383,4310.83065,710356,96,81.04,83.67,100,NA
2025-2026,July,34,JHARKHAND,3410,EAST SINGHBUM,1387760,282.7450917,30,131,38.7125705,4862,36,48979,1439335,61660,8995,596467,98845,158.43699,4266.798626,47426,54992,109209,208944,175,288715,508416,53841,4069.649066,825116,96,56.28,67.5,100.01,NA
2025-2026,July,34,JHARKHAND,3413,SAHEBGANJ,1424253,287.0977851,27,287,3.4206586,2840,4,39386,1506035,52285,6564,371089,44603,134.77713,4461.990917,55054,59440,121219,151585,92,369627,450563,42226,4323.793128,776376,94,63.5,62.79,100,NA
2025-2026,July,34,JHARKHAND,3414,PAKUR,1529943,281.5295797,30,47,18.7896592,4213,0,34645,1455276,31405,3191,448408,42835,120.56018,4236.382245,47328,50150,95109,120925,91,246860,310035,38858,4097.032406,741119,98,72.5,68.35,100,NA
2025-2026,July,34,JHARKHAND,3419,GIRIDIH,5596442,278.6761142,30,760,4.1229337,10116,10,90865,4726597,309233,32813,364466,34955,157.61192,13333.63171,154237,164180,293417,378144,225,695829,910219,100981,13171.89685,2583042,97,75.56,80.96,100.01,NA
2025-2026,July,34,JHARKHAND,3402,LOHARDAGA,737998,275.9554855,32,91,0,2110,0,22555,667509,33715,5053,381762,68413,46.78337,1888.811072,20440,27049,52696,112024,123,103758,203601,24665,1842.027702,348429,98,49.43,48.59,100,NA
2025-2026,July,34,JHARKHAND,3405,PALAMU,3066235,280.5010146,28,493,40.7426514,7169,0,83818,3025301,660942,74588,219434,25416,233.36704,8760.10969,106324,126459,206919,286868,111,454582,611077,90987,8485.999999,1430571,96,70.68,82.1,100.01,NA
2025-2026,July,34,JHARKHAND,3410,EAST SINGHBUM,1387760,282.2587124,30,131,38.7125705,4766,36,48987,1431151,61273,8993,592333,98861,118.39256,4196.653516,47311,54840,109242,208936,171,288699,508392,53753,4039.548386,820421,96,56.37,67.64,100.01,NA
2025-2026,July,34,JHARKHAND,3411,DUMKA,2964026,280.4494607,31,133,39.3653458,4202,0,39428,2534455,133114,11241,615519,65342,150.07,7297.300725,80739,86649,150249,209023,103,348272,490709,43630,7107.865379,1240412,96,82.48,82.91,100,NA
2025-2026,July,34,JHARKHAND,3418,KODERMA,988265,285.2817442,33,98,17.3913297,1748,0,20093,1133127,93348,9305,16223,1107,34.873,3284.8688,34197,37343,65437,82895,110,162507,204524,21841,3232.60447,605764,93,83.63,72.53,100,NA
2025-2026,July,34,JHARKHAND,3403,GUMLA,1771139,267.2004743,31,171,0,3142,1,48287,1624588,60488,6676,920887,119272,129.42946,4470.336301,51514,60530,110819,188995,212,229886,380871,51429,4340.906841,714466,96,81,83.65,100,NA
2025-2026,July,34,JHARKHAND,3412,JAMTARA,2698726,278.8639579,28,127,0,7307,0,53950,2569626,194829,14904,436632,42406,97.32884,7263.089608,90344,99129,138963,184282,132,252719,323449,61257,7165.760768,1351977,97,81.39,79.35,100.01,NA
2025-2026,July,34,JHARKHAND,3415,GODDA,2037091,279.28595,29,152,17.816242,4019,5,54056,1899147,83779,9640,379348,39404,164.50807,5486.375053,63342,68907,128748,187730,29,327706,467903,58075,5304.050741,1012874,95,69.05,68.1,100.03,NA
2025-2026,July,34,JHARKHAND,3416,HAZARIBAGH,2729615,286.5438945,31,260,11.3243852,7669,13,47144,2762669,347522,34478,155837,15185,208.16686,8135.750589,87524,96371,164889,222529,408,390942,533118,54813,7916.259344,1498108,97,73.38,85.3,100,NA
2025-2026,July,34,JHARKHAND,3418,KODERMA,988265,285.0708274,33,99,17.3913297,1843,0,20139,1149385,94625,9329,16283,1107,47.159,3341.11166,34434,37612,65465,82918,113,162528,204549,21982,3276.56133,614803,93,83.66,72.53,100,NA
2025-2026,July,34,JHARKHAND,3421,DHANBAD,1497752,279.9145777,28,123,0.76,11798,1,44931,1553815,124873,15681,216047,22878,116.79213,4466.906825,55209,62446,111930,154095,151,327501,422922,56729,4349.354695,811551,97,72.86,77.7,100,NA
2025-2026,July,34,JHARKHAND,3423,RAMGARH,1124892,275.5170655,36,173,0.8094704,3268,23,22672,1115060,74800,7882,300041,27264,72.67904,3145.669102,30662,37412,61566,101560,325,150067,235041,25940,3072.180591,583780,97,65.22,69.54,100,NA
2025-2026,July,34,JHARKHAND,3408,WEST SINGHBHUM,1826067,278.2524617,28,136,16.9236,5914,3,57863,1872424,40642,5432,1283382,151827,100.01271,5327.002184,64806,70112,148546,216055,173,378163,542402,63777,5210.065874,900005,95,67.88,74.01,100.01,NA
2025-2026,July,34,JHARKHAND,3401,RANCHI,1718161,284.0737767,30,122,7.28131,3387,5,54470,1816812,97984,12248,654024,100829,223.52611,5391.893883,59702,69401,147695,239143,210,369482,554349,57857,5161.086463,909804,97,72.27,71.63,100,NA
2025-2026,July,34,JHARKHAND,3418,KODERMA,988265,285.3902444,32,98,17.3913297,1740,0,20052,1122235,92416,9306,16198,1108,34.873,3255.013539,34074,37207,65376,82816,105,162484,204499,21792,3202.74921,599702,93,83.58,72.44,100,NA
2025-2026,July,34,JHARKHAND,3420,BOKARO,1901599,286.4382392,30,195,8.4444676,3221,15,52067,1748636,202736,27332,255497,34595,137.62587,5154.832505,57304,63682,136327,203468,245,397815,568721,55288,5008.762168,968636,98,70.6,70.56,100,NA
2025-2026,July,34,JHARKHAND,3401,RANCHI,1718161,283.7130734,30,122,7.28131,3282,5,54127,1788394,96553,12231,642608,100748,223.52611,5304.715002,59385,69035,147548,238907,192,369435,554258,57409,5073.907582,895809,97,72.48,71.8,100,NA
2025-2026,July,34,JHARKHAND,3412,JAMTARA,2698726,277.1180712,27,125,0,6822,0,53773,2453596,184388,14882,413995,42351,51.3064,6850.664311,89149,97709,138758,184028,104,252514,323208,60595,6799.357911,1290962,97,82.07,80.23,100.01,NA
2025-2026,July,34,JHARKHAND,3420,BOKARO,1901599,286.9961802,30,194,8.4444676,3118,15,51856,1717143,197460,27338,247887,34559,137.62587,5074.205156,56877,63180,136212,203329,222,397732,568620,54974,4928.134819,948706,98,71.21,71.09,100,NA
2025-2026,July,34,JHARKHAND,3421,DHANBAD,1497752,279.8668509,27,112,0.76,10545,1,45639,1478854,118117,15657,205988,22871,76.56261,4216.14473,54364,61488,111788,153900,115,327356,422707,56184,4138.82212,770764,97,73.12,77.75,100,NA
2025-2026,July,34,JHARKHAND,3423,RAMGARH,1124892,278.5676279,34,162,0.8094704,2920,25,22599,1029067,69238,7827,277215,27102,60.90264,2928.359641,29478,35870,61222,100981,255,149891,234822,25519,2866.647531,536108,97,65.84,70.23,100,NA
2025-2026,Aug,34,JHARKHAND,3402,LOHARDAGA,879281,275.5906173,34,96,0,2378,0,22916,738255,37831,5063,421775,68718,70.10697,2104.668482,21403,28473,53006,112632,179,103866,203775,25294,2034.561512,384429,98,49.6,48.04,100,NA
2025-2026,Aug,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1695853,280.8321203,28,177,0.70994,2121,1,50200,1430339,61391,10439,458412,84864,121.89953,4139.460811,51024,62335,110321,208604,111,240808,424961,52321,4016.851341,745401,96,55.81,60.59,100,NA
2025-2026,Aug,34,JHARKHAND,3413,SAHEBGANJ,1696914,287.180531,27,310,3.4206586,3145,4,40537,1582852,54773,6592,396297,44849,137.04742,4686.110858,56534,61083,121804,152293,134,369798,450741,43682,4545.642779,817221,94,63.06,61.83,100,NA
2025-2026,Aug,34,JHARKHAND,3421,DHANBAD,1784484,280.6615102,28,123,0.76,13094,1,44258,1618449,131042,15716,226118,22929,120.96013,4664.083535,55822,63195,112170,154477,184,327822,423403,57352,4542.363405,846815,97,72.57,77.35,100,NA
2025-2026,Aug,34,JHARKHAND,3401,RANCHI,2047087,283.6404504,31,131,7.28131,3872,5,55003,1952239,104098,12302,706418,101163,302.22545,5846.846252,61731,71917,148202,239990,256,369959,554997,58875,5537.339492,978126,97,71.44,70.9,100,NA
2025-2026,Aug,34,JHARKHAND,3402,LOHARDAGA,879281,275.9003758,34,96,0,2378,0,22869,727803,37142,5061,415746,68692,70.10697,2078.118182,21233,28242,52974,112574,161,103856,203758,25247,2008.011212,379558,98,49.49,47.98,100,NA
2025-2026,Aug,34,JHARKHAND,3413,SAHEBGANJ,1696914,287.4179147,27,305,3.4206586,3132,4,40344,1572838,54546,6590,394558,44815,137.04742,4661.086259,56364,60879,121746,152231,134,369777,450719,43476,4520.618181,811783,94,62.98,61.96,100,NA
2025-2026,Aug,34,JHARKHAND,3422,DEOGHAR,3908802,280.6119591,32,328,29.39246,6437,0,49553,3413227,215388,23907,293195,27878,132.4544,9739.770015,103821,114157,189748,268725,260,443317,637675,55990,9577.923155,1624908,95,52.33,78.58,100,NA
2025-2026,Aug,34,JHARKHAND,3423,RAMGARH,1340243,273.1563189,38,171,0.8094704,3649,23,23025,1193497,81001,7928,321884,27478,81.42504,3342.346982,31406,38365,61991,102221,380,150184,235195,26674,3260.112471,626805,97,65.1,68.91,100,NA
2025-2026,July,34,JHARKHAND,3403,GUMLA,1771139,266.7890757,32,173,0,3215,1,48414,1670426,62398,6681,945703,119311,130.89446,4587.408546,51930,61108,110849,189037,232,229984,380992,51629,4456.514086,735789,96,80.8,83.54,100,NA
2025-2026,July,34,JHARKHAND,3413,SAHEBGANJ,1424253,287.3030869,27,286,3.4206586,3126,4,39996,1551166,53974,6583,385943,44783,137.04742,4597.01588,55896,60371,121592,152035,101,369735,450670,43122,4456.547801,800230,94,63.15,62.39,100,NA
2025-2026,July,34,JHARKHAND,3420,BOKARO,1901599,286.0496253,31,201,8.4444676,3540,15,52180,1832483,214171,27431,271402,34690,202.13753,5452.392754,58597,65170,136756,204098,293,398043,569018,55720,5241.810756,1020512,98,70.8,69.89,100,NA
2025-2026,July,34,JHARKHAND,3424,KHUNTI,877486,280.2263856,34,131,3.4272,1886,0,27107,828267,34844,4229,555081,62392,79.30904,2403.758917,23764,28307,56153,90558,461,154356,245413,28993,2321.022677,404631,98,78.26,79.09,100,NA
2025-2026,Aug,34,JHARKHAND,3404,SIMDEGA,2007151,287.54467,32,167,18.0792517,5653,0,35936,1556555,151595,14698,975669,102411,87.4798,4581.34999,47546,54240,97066,156222,317,181566,284918,41589,4475.790938,729562,96,68.62,70.62,100.01,NA
2025-2026,Aug,34,JHARKHAND,3407,GARHWA,6431482,281.4470177,32,251,2.4641185,16150,0,62192,5010983,531646,50685,517963,37883,237.52582,14343.25215,155221,188077,251941,358308,366,438132,608530,78342,14103.26221,2368783,95,82.1,85.49,100.01,NA
2025-2026,Aug,34,JHARKHAND,3412,JAMTARA,3215374,278.6432588,29,128,0,7499,0,54174,2645828,201124,14920,451497,42461,97.32884,7469.750201,91056,99979,139182,184536,149,252812,323556,61673,7372.421361,1390427,97,80.91,78.89,100.01,NA
2025-2026,Aug,34,JHARKHAND,3419,GIRIDIH,6667832,279.5328005,31,762,4.1229337,10507,10,90756,4902450,322311,32810,381399,34934,157.61192,13865.69063,156153,166316,293474,378311,264,696109,910586,101263,13703.95578,2680173,97,74.87,80.52,100.01,NA
2025-2026,Aug,34,JHARKHAND,3420,BOKARO,2265644,285.9187279,31,203,8.4444676,3556,15,52238,1846063,215969,27445,273417,34690,202.13753,5488.821844,58772,65394,136774,204133,305,398060,569056,55794,5278.239846,1028939,98,70.83,69.76,100,NA
2025-2026,Aug,34,JHARKHAND,3421,DHANBAD,1784484,280.1417047,28,123,0.76,12326,1,44826,1592279,129024,15697,222740,22902,120.96013,4582.357664,55548,62853,112053,154285,174,327702,423233,57152,4460.637534,832370,97,72.71,77.5,100,NA
2025-2026,Aug,34,JHARKHAND,3407,GARHWA,6431482,281.5399337,32,251,2.4641185,16902,0,62159,5075823,539710,50737,525600,37901,237.52582,14530.45865,156000,189115,252063,358520,455,438301,608769,79061,14290.46871,2401689,95,81.6,84.93,100.01,NA
2025-2026,Aug,34,JHARKHAND,3417,CHATRA,3494357,282.5592722,25,100,0.01143,5714,1,54412,2694018,651714,54877,164770,11672,75.04138,7687.250464,103637,115713,173322,210532,136,300822,357558,60126,7612.197654,1398760,98,81.62,85.13,100,NA
2025-2026,July,34,JHARKHAND,3410,EAST SINGHBUM,1387760,283.2116103,30,133,38.7125705,5294,36,48898,1465262,62898,9032,606450,98869,158.87699,4347.381666,47837,55488,109305,209102,204,288813,508566,54192,4149.792105,841106,96,56.36,67.31,100.01,NA
2025-2026,July,34,JHARKHAND,3422,DEOGHAR,3280734,282.3688763,32,325,29.39246,6315,0,49503,3362698,212379,23848,289555,27841,132.4544,9657.059416,103375,113629,189333,268115,229,443143,637451,55818,9495.212556,1600076,95,52.2,78.81,100,NA
2025-2026,July,34,JHARKHAND,3423,RAMGARH,1124892,277.2848312,36,171,0.8094704,3480,23,22715,1140504,75986,7896,306140,27289,81.42504,3244.679102,30916,37717,61680,101721,346,150103,235087,26195,3162.444591,597848,97,64.97,69.3,100,NA
2025-2026,Aug,34,JHARKHAND,3406,LATEHAR,3196304,278.0693782,33,639,0,11547,0,53730,3168278,439838,24342,930611,57133,80.79098,8890.801913,95717,104509,139096,170641,372,219879,267144,65277,8810.010933,1535715,98,36.33,85.89,100.01,NA
2025-2026,Aug,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1695853,279.9511951,29,182,0.70994,2409,1,51370,1573843,69065,10483,500701,85191,121.89953,4528.601758,52592,64537,110894,209757,201,240901,425176,53779,4405.992288,819346,96,53.05,58.52,100,NA
2025-2026,Aug,34,JHARKHAND,3418,KODERMA,1177460,283.7932108,35,103,17.3913297,2109,0,21229,1256919,105895,9373,17952,1112,47.159,3631.601117,35839,39168,65968,83564,294,162737,204782,23338,3567.050787,676216,94,83.16,70.57,100,NA
2025-2026,Aug,34,JHARKHAND,3424,KHUNTI,1045473,282.4108618,37,133,3.4272,2076,0,27461,943213,40175,4279,631829,62835,79.42904,2746.592202,25013,29880,56638,91285,819,154583,245652,29537,2663.735962,463035,98,78.49,79.33,100,NA
2025-2026,Aug,34,JHARKHAND,3401,RANCHI,2047087,282.0512996,34,139,12.15675,4677,5,56477,2246473,118846,12467,810120,102087,302.22545,6650.588491,65337,76441,149967,242690,475,371160,556747,61154,6336.206291,1136948,97,69.88,69.54,100,NA
2025-2026,Aug,34,JHARKHAND,3402,LOHARDAGA,879281,275.1578369,38,104,0,2913,0,23251,866081,44690,5120,492308,69234,70.10697,2453.196715,22766,30468,53582,113722,297,104123,204276,26164,2383.089745,450650,98,49.11,47.88,100,NA
2025-2026,Aug,34,JHARKHAND,3411,DUMKA,3531463,280.8991079,35,137,39.3653458,5455,0,42549,3051207,162465,11395,745418,65981,197.47478,8807.653368,84944,91339,151819,211085,402,349283,491816,48004,8570.813242,1500570,96,78.76,81.1,100,NA
2025-2026,Aug,34,JHARKHAND,3419,GIRIDIH,6667832,278.8434159,33,792,4.1229337,13651,9,91584,5537589,371905,33171,437853,35235,157.61192,15602.93718,163040,174058,296428,382216,719,698938,913878,105235,15441.20233,3034288,97,73.76,78.48,100.01,NA
2025-2026,Aug,34,JHARKHAND,3421,DHANBAD,1784484,280.2768935,30,137,0.76,16555,1,42208,1778166,147369,15953,248363,23062,120.96013,5105.508557,58082,65971,113376,156313,357,328364,424231,58763,4983.788427,938215,97,71.07,74.23,100,NA
2025-2026,Aug,34,JHARKHAND,3401,RANCHI,2047087,284.5331268,32,134,7.28131,4308,5,55258,2071477,109366,12328,749583,101412,302.22545,6203.545038,63168,73705,148775,240858,326,370388,555628,59566,5894.038278,1041330,97,70.68,70.22,100,NA
2025-2026,Aug,34,JHARKHAND,3415,GODDA,2427075,280.0165448,31,155,17.816242,4441,5,54469,2037701,90696,9684,412617,39649,164.50807,5888.224246,64904,70679,129322,188528,93,327949,468189,58910,5705.899934,1093758,95,68.58,66.48,100.03,NA
2025-2026,Aug,34,JHARKHAND,3416,HAZARIBAGH,3252176,286.3318615,32,267,11.3243852,9227,13,48273,2946824,372887,34715,167192,15276,208.16686,8657.18726,89399,98544,165856,223894,558,391746,534083,57500,8437.696015,1603589,97,71.97,84.5,100,NA
2025-2026,Aug,34,JHARKHAND,3418,KODERMA,1177460,285.5523529,34,102,17.3913297,2041,0,21094,1222632,102400,9342,17618,1112,47.159,3555.804773,35367,38650,65702,83214,261,162681,204717,23135,3491.254444,655700,94,83.63,70.82,100,NA
2025-2026,Aug,34,JHARKHAND,3420,BOKARO,2265644,286.662629,32,212,8.4444676,3879,14,52303,1937725,228712,27581,290165,34799,202.13753,5765.315425,60082,66946,137364,204972,335,398301,569397,56182,5554.733427,1084961,98,70.05,68.75,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.4159478,35,189,1.8,3816,1,49665,1948219,74187,6759,1102633,120114,130.89446,5342.542763,54699,64678,111694,190291,691,230792,381920,53481,5209.848303,864322,96,79.72,82.43,100,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,287.1883738,39,192,30.0269305,7132,0,38029,2003161,194073,14876,1265171,103674,87.4798,5870.352231,51137,58627,98274,157982,887,182595,286096,45161,5752.845501,954587,97,68.25,71.48,100.01,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,282.3308825,28,103,0.01143,6753,1,55607,3010778,722963,55211,184406,11770,75.04138,8575.408907,107015,119660,174366,211878,334,301640,358564,62360,8500.356097,1575594,98,78.9,82.34,100,NA
2025-2026,Sep,34,JHARKHAND,3420,BOKARO,2618982,285.7204422,34,221,845.4180781,4846,14,52384,2180630,259469,27894,327774,35108,202.13753,7278.061288,63192,70581,138887,207207,530,399373,570734,57230,6230.50568,1229965,98,68.05,66.69,100,NA
2025-2026,Sep,34,JHARKHAND,3401,RANCHI,2366339,283.412304,35,153,719.0443971,5288,5,57129,2399140,126773,12547,866130,102573,302.22545,7820.727798,67342,78981,150931,244170,821,371729,557577,62417,6799.457951,1218384,97,69.37,68.78,100,NA
2025-2026,Sep,34,JHARKHAND,3407,GARHWA,7434501,280.1595227,33,253,68.2094786,18036,0,62891,5246276,563827,50925,547950,38014,237.52582,15003.6771,158118,191991,252625,359401,747,438663,609274,80927,14697.9418,2487167,95,79.89,83.15,100.02,NA
2025-2026,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2514955,278.3438059,34,145,29.7198,8653,3,59944,2414342,54187,5510,1642302,153681,189.27671,6939.167921,70458,76442,150895,219131,686,379724,544101,68597,6720.171411,1159733,95,66.51,73.34,100.01,NA
2025-2026,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1960328,280.1240465,31,185,54.5242578,2642,1,52778,1720753,76390,10574,546994,85629,121.89953,4996.666722,54377,66881,111644,211150,314,241018,425404,55420,4820.242935,895600,96,51.05,56.52,100,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.4073167,34,139,5.92672,9189,0,54497,3352358,259093,15073,583239,42890,97.32884,9469.989094,96169,106105,140691,186423,519,254258,325111,63686,9366.733534,1762834,97,79.48,77.2,100.01,NA
2025-2026,Sep,34,JHARKHAND,3413,SAHEBGANJ,1961556,286.3892575,30,390,34.1508552,4731,4,42116,1805235,62474,6660,472911,45753,137.04742,5341.197387,59797,64701,123564,154432,243,370444,451473,46847,5169.999112,936863,94,60,58.43,100,NA
2025-2026,Sep,34,JHARKHAND,3418,KODERMA,1361090,283.5437126,36,103,182.7849092,2256,0,21377,1328476,113722,9407,19251,1120,47.159,3996.754081,36636,40079,66234,83901,428,162996,205085,23633,3766.810172,718206,94,82.32,70.1,100,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,287.565558,38,191,27.8466117,7046,0,37930,1974833,191370,14853,1246875,103584,87.4798,5794.265948,50926,58372,98190,157849,823,182543,286037,44976,5678.939537,940614,97,68.35,71.39,100.01,NA
2025-2026,Sep,34,JHARKHAND,3405,PALAMU,4222979,280.3324855,31,549,40.7426514,10442,0,87105,3612028,789918,75748,269422,25876,309.69223,10476.12275,114666,137018,210439,292048,460,457192,614737,97547,10125.68787,1728048,96,67.51,77.39,100.05,NA
2025-2026,Sep,34,JHARKHAND,3415,GODDA,2805588,279.8508146,33,159,75.8956949,5114,5,55304,2259213,100830,9736,465266,39940,164.50807,6562.829749,67131,73262,130084,189623,123,328433,468766,60418,6322.425984,1226675,95,68.1,64.03,100.04,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,282.1531029,27,103,0.01143,6663,1,55623,2984279,717032,55178,182522,11769,75.04138,8495.288608,106711,119298,174318,211810,319,301590,358496,62286,8420.235798,1560623,98,79.11,82.58,100,NA
2025-2026,Sep,34,JHARKHAND,3418,KODERMA,1361090,284.7034282,36,103,185.0993892,2291,0,21362,1333825,114026,9410,19329,1117,47.159,4029.703891,36720,40171,66246,83918,441,162999,205091,23653,3797.445502,721119,94,82.26,70.08,100,NA
2025-2026,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2514955,277.7254329,34,146,201.5379735,8912,3,60115,2481559,55670,5523,1687600,154085,189.27671,7282.735158,71255,77340,151317,219681,873,380032,544430,69027,6891.920475,1192520,95,66.58,73.34,100.01,NA
